╔════════════════════╦════════════╦══════════╦════════════╗
║File                ║Solver      ║Result    ║Time (s)    ║
║prime25.in          ║Solver2     ║UNSAT     ║0.048       ║
║prime25.in          ║Solver3     ║UNSAT     ║0.000       ║
║prime289.in         ║Solver2     ║UNSAT     ║0.203       ║
║prime289.in         ║Solver3     ║UNSAT     ║0.015       ║
║prime361.in         ║Solver2     ║UNSAT     ║0.127       ║
║prime361.in         ║Solver3     ║UNSAT     ║0.011       ║
║prime4.in           ║Solver2     ║UNSAT     ║0.032       ║
║prime4.in           ║Solver3     ║UNSAT     ║0.000       ║
║prime49.in          ║Solver2     ║UNSAT     ║0.053       ║
║prime49.in          ║Solver3     ║UNSAT     ║0.000       ║
║prime529.in         ║Solver2     ║UNSAT     ║0.194       ║
║prime529.in         ║Solver3     ║UNSAT     ║0.020       ║
║prime65537.in       ║Solver2     ║UNSAT     ║1.489       ║
║prime65537.in       ║Solver3     ║UNSAT     ║0.139       ║
║prime841.in         ║Solver2     ║UNSAT     ║0.191       ║
║prime841.in         ║Solver3     ║UNSAT     ║0.019       ║
║prime9.in           ║Solver2     ║UNSAT     ║0.060       ║
║prime9.in           ║Solver3     ║UNSAT     ║0.003       ║
║prime961.in         ║Solver2     ║UNSAT     ║0.448       ║
║prime961.in         ║Solver3     ║UNSAT     ║0.019       ║
║sat0.in             ║Solver2     ║UNSAT     ║0.000       ║
║sat0.in             ║Solver3     ║UNSAT     ║0.000       ║
║sat1.in             ║Solver2     ║SAT       ║0.025       ║
║sat1.in             ║Solver3     ║SAT       ║0.000       ║
║sat10.in            ║Solver2     ║UNSAT     ║0.016       ║
║sat10.in            ║Solver3     ║UNSAT     ║0.000       ║
║sat11.in            ║Solver2     ║UNSAT     ║0.024       ║
║sat11.in            ║Solver3     ║UNSAT     ║0.000       ║
║sat12.in            ║Solver2     ║UNSAT     ║0.016       ║
║sat12.in            ║Solver3     ║UNSAT     ║0.000       ║
║sat13.in            ║Solver2     ║UNSAT     ║0.021       ║
║sat13.in            ║Solver3     ║UNSAT     ║0.000       ║
║sat2.in             ║Solver2     ║SAT       ║0.019       ║
║sat2.in             ║Solver3     ║UNSAT     ║0.000       ║
║sat3.in             ║Solver2     ║SAT       ║0.027       ║
║sat3.in             ║Solver3     ║UNSAT     ║0.000       ║
